item_id,cost,description
434679,3.5200000000000005,mousey long legs soft toy
455112,1.730000000000003,white spot red ceramic drawer knob
455910,6.8400000000000025,folding umbrella pinkwhite polkadot
474012,1.1800000000000037,rocking horse green christmas 
477099,1.6535294117647048,gumball monochrome coat rack
482769,4.490000000000007,set 2 pantry design tea towels
1890630,1.38,brown kukui coconut seed necklace spotted white natural red
1894368,3.52,pair of pink flower cluster slide
340977,0.2899999999999993,sleeping cat erasers
441000,5.870000000000001,rose du sud cosmetics bag
441231,2.01,glitter snow pear tree decoration
450030,5.180000000000001,set 3 red gingham rose storage box
460488,2.8112355212355484,jumbo bag scandinavian blue paisley
470211,2.207777777777778,paperweight home sweet
470358,0.8820779220779202,magnets pack of 4 swallows
476070,1.7300000000000018,french wc sign blue metal
476280,1.7299999999999984,french blue metal door sign 5
486780,6.8400000000000025,mum's kitchen clock
493101,1.729999999999999,pearlised ivory heart small 
494676,17.25,landmark frame covent garden 
968415,0.27,green pop art mao cushion cover 
1519749,1.73,pink clear glass candle plate
433944,4.08,tropical holiday purse 
439656,4.079999999999999,forked cactus candle
459333,1.730000000000001,if you can't stand the heat mug
463701,2.2800000000000007,ribbon reel flora + fauna 
467649,1.2828409090909105,egg cup natural chicken
471807,3.519999999999986,gumball coat rack
471912,6.839999999999991,tv dinner tray dolly girl
482160,5.869999999999921,jam making set with jars
483420,17.25,glass songbird storage jar
485772,7.940000000000025,small ivory heart wall organiser
486213,5.180000000000005,zinc sweetheart wire letter rack
486381,1.7300000000000006,regency cake fork
493332,11.389999999999993,vintage jingle bells wreath
493920,5.180000000000004,embroidered ribbon reel ruby 
1785294,8.219999999999926,red retrospot umbrella black blue polkadot
1892835,6.84,orange wht fuschia stones necklace
444423,0.9655263157894756,do not touch my stuff door hanger 
448455,1.7299999999999978,toast its - i love you 
451983,11.124588607594937,doormat fancy font home sweet
458829,6.8400000000000025,silver diamante pen in gift box
463029,0.36999999999999983,wrap christmas screen print
470904,17.600000000000037,enamel bread bin cream
471450,4.629999999999997,silk purse babushka blue
476007,4.079999999999982,recipe box retrospot 
484029,11.39000000000004,recycled acapulco mat red
487998,5.730000000000013,set of 4 knick knack tins london 
489657,13.740000000000007,blue refectory clock 
492051,1.1500000000000001,natural hanging quilted hearts 
492975,1.1499999999999995,woodland small pink felt heart
752136,0.53,acrylic jewel angel pink
1890231,4.08,midnight blue crystal drop earrings black
1892856,13.74,pale pink amethyst stone necklace
440580,1.7300000000000002,36 pencils tube posy
442470,1.730000000000001,vintage billboard mug 
457968,5.180000000000002,christmas garland stars trees
465885,2.2800000000000007,slate tile natural hanging
476553,1.7300000000000033,grow a flytrap or sunflower in tin
477477,2.2799999999999905,ribbon reel christmas present 
482475,1.7299999999999958,spaceboy childrens egg cup
488775,1.7300000000000053,set of 3 hanging owls ollie beak
492639,17.25,dolly cabinet 2 drawers 
1660491,4.079999999999999,english rose metal waste bin
1769271,0.2699999999999998,greeting card two sisters sticky gordon overcrowded pool
1779351,1.41,3 birds canvas screen
1779603,1.73,orange felt vase + flowers
1785126,2.1466666666666665,set 4 nursery des round boxes
1785756,3.653050847457633,rose 1 wick morris boxed candle gardenia chocolate box
1892730,4.08,turq stone crystal earrings white
461790,1.7299999999999958,modern floral stationery set
465654,2.279999999999995,photo cube
470841,0.5799999999999987,lipstick pen fuschia
476028,4.08000000000001,pink baby bunting
476784,0.5799999999999986,wrap red apples 
483735,2.0099999999999953,drawer knob ceramic ivory doorknob
487725,1.149999999999999,cherub heart decoration silver 
490329,1.7300000000000046,roll wrap vintage christmas
987441,0.8573333333333333,set 6 bead coasters gauze bag gold
1303974,3.52,turq ice cream bum bag 
1783110,8.22,pink paisley cushion cover 
445410,2.0099999999999927,set of 72 retrospot paper doilies
451626,0.58,fancy font birthday card 
455091,1.730000000000002,red spot ceramic drawer knob
459291,1.8635185185185197,save the planet mug
468300,3.519999999999994,coffee mug dog + ball design
472059,1.7300000000000002,daisy garden marker
472878,2.9000000000000026,childs garden brush blue
473760,1.7300000000000066,traditional modelling clay
476721,3.100754716981134,pink dog bowl
481509,89.70000000000003,school desk and chair 
483651,2.2799999999999963,doorknob cracked glaze pink drawer knob crackle
485520,0.5799999999999988,pack of 6 small fruit straws
1501710,1.18,square metal candleholder base
1529178,0.7076666666666662,christmas decoupage candle
1776873,6.42,blue new baroque flock candlestick pink
1890525,5.18,baroque butterfly earrings black crystal
436191,3.52,chrysanthemum journal
445305,3.520000000000002,multicolour 3d balls garland
446439,8.220000000000024,victorian sewing box small 
451878,0.58,bank account greeting card
471975,6.839999999999999,skull design tv dinner tray
474243,3.520000000000003,pack of 6 handbag gift boxes
474558,0.4100000000000001,christmas musical zinc tree
475398,3.5199999999999996,set of 4 napkin charms crowns 
475545,2.0099999999999945,ceramic heart fairy cake money bank
476448,11.225999999999999,doormat peace on earth blue
479787,22.714082840236625,bread bin diner style ivory
480459,2.2075,number tile vintage font 0
481026,2.27999999999999,12 message cards with envelopes
481593,4.079999999999999,baking mould easter egg milk choc
482328,13.740000000000007,rose cottage keepsake box 
1780569,5.180000000000004,enchanted bird plant cage
1784538,1.730000000000011,hanging heart jar t-light holder
440349,5.179999999999993,red floral feltcraft shoulder bag
442407,1.729999999999999,vintage red teatime mug
458871,6.8400000000000025,lilac diamante pen in gift box
461307,0.4539772727272716,pack of 12 skull tissues
461664,0.4577333333333321,pack of 12 pink paisley tissues 
466137,1.1799999999999806,small popcorn holder
472731,3.225625000000001,retrospot babushka doorstop
473214,0.5799999999999986,magic drawing slate spaceboy 
476805,0.579999999999999,wrap green pears 
480333,2.7,number tile cottage garden 5
487158,2.0099999999999927,pantry magnetic shopping list
488019,5.730000000000011,set of 4 knick knack tins poppies
490896,0.5399999999999993,pack of 12 vintage christmas tissue
492597,6.8400000000000025,large parlour frame picture
968898,1.18,blue chenille shaggy cushion cover 
1776516,0.5799999999999952,mixed nuts light green bowl small marshmallows pink chocolates licorice des biscuits blue dolly mix design orange
1781472,1.1800000000000046,zinc willie winkie candle stick
457317,10.979999999999999,recipe box with metal heart
460236,0.5799999999999998,set 12 retro white chalk sticks
466557,1.3767187500000002,t-light holder hanging lace
472101,1.7300000000000009,black tea towel classic design
473907,1.8734782608695633,20 dolly pegs retrospot
475776,172.5,vintage blue kitchen cabinet
476658,4.079999999999974,pink regency teacup and saucer
477813,1.180000000000004,small yellow babushka notebook 
478212,1.7299999999999973,pink drawer knob acrylic edwardian
480438,2.899999999999999,number tile cottage garden no
483084,0.5799999999999987,travel card wallet pantry
487179,2.880000000000046,jumbo bag apples
493290,5.180000000000006,t-light holder hanging love bird
494004,5.180000000000005,horse & pony wall art 
