user_id,item_id,score
298515,434679,1
298494,434679,1
303681,434679,1
259602,434679,1
305004,434679,1
361977,434679,1
289044,434679,1
365043,434679,1
272748,434679,1
359289,434679,1
326445,434679,1
374661,455112,1
259938,455112,1
353094,455112,1
321531,455112,1
355488,455112,1
294084,455112,1
333207,455112,1
305424,455112,1
328440,455112,1
336231,455112,1
266868,455112,1
321111,455112,1
276129,455112,1
271887,455112,1
263907,455112,1
264285,455112,1
372036,455112,1
313530,455112,1
361956,455112,1
274869,455112,1
299817,455112,1
262920,455112,1
351645,455112,1
298515,455112,1
315819,455112,1
329721,455112,1
261912,455112,1
261093,455112,1
318150,455112,1
375165,455112,1
275877,455112,1
261576,455112,1
353577,455112,1
278565,455112,1
339066,455112,1
293853,455112,1
293349,455112,1
307419,455112,1
263214,455112,1
280833,455112,1
306033,455112,1
371406,455112,1
304416,455112,1
286818,455112,1
261072,455112,1
294336,455112,1
277830,455112,1
294189,455112,1
328188,455112,1
302715,455112,1
263613,455112,1
365736,455112,1
307146,455112,1
347550,455112,1
287889,455112,1
328755,455112,1
308700,455112,1
288624,455112,1
277389,455112,1
262017,455112,1
309855,455112,1
333354,455112,1
320229,455112,1
369285,455112,1
304605,455112,1
365862,455112,1
260757,455112,1
327621,455112,1
371133,455112,1
355698,455112,1
370293,455112,1
371826,455112,1
311661,455112,1
358281,455112,1
320040,455112,1
368907,455112,1
278607,455112,1
352548,455112,1
332745,455112,1
344547,455112,1
261933,455112,1
297780,455112,1
340662,455112,1
306726,455112,1
282618,455112,1
371490,455112,1
372330,455112,1
345114,455112,1
298641,455112,1
323547,455112,1
331506,455112,1
379512,455112,1
372225,455112,1
282975,455112,1
355740,455112,1
329616,455112,1
358491,455112,1
327159,455112,1
283248,455112,1
349146,455112,1
313131,455112,1
382977,455112,1
286776,455112,1
311787,455112,1
324702,455112,1
338415,455112,1
369831,455112,1
309834,455112,1
294651,455112,1
339150,455112,1
304521,455112,1
271089,455112,1
307566,455112,1
288246,455112,1
324534,455112,1
368130,455112,1
265167,455112,1
298767,455112,1
372162,455112,1
270438,455112,1
352149,455112,1
369999,455910,1
376320,455910,1
377412,455910,1
380562,455910,1
263844,455910,1
326088,455910,1
267708,455910,1
326151,455910,1
314685,455910,1
278439,455910,1
361977,455910,1
263319,455910,1
333207,455910,1
264012,455910,1
355551,455910,1
266385,455910,1
318150,455910,1
287007,455910,1
362208,455910,1
263949,455910,1
363594,455910,1
260988,455910,1
327474,455910,1
373653,455910,1
377496,455910,1
313278,455910,1
326109,455910,1
333921,474012,1
373317,474012,1
355005,474012,1
343896,474012,1
332724,474012,1
333081,474012,1
341145,474012,1
326970,474012,1
337365,474012,1
354249,474012,1
317268,474012,1
313131,474012,1
330792,474012,1
364812,474012,1
327621,474012,1
380184,474012,1
298011,474012,1
261954,474012,1
321615,474012,1
351057,474012,1
372897,474012,1
321321,474012,1
337386,474012,1
359037,474012,1
363594,474012,1
303576,474012,1
293475,474012,1
345744,474012,1
304605,474012,1
297675,474012,1
312942,474012,1
344946,474012,1
267708,474012,1
341754,474012,1
278523,474012,1
336315,474012,1
285411,474012,1
350973,474012,1
380478,474012,1
264537,474012,1
324156,474012,1
298914,474012,1
343560,474012,1
356727,474012,1
264957,474012,1
286314,474012,1
354732,474012,1
302127,474012,1
326109,474012,1
343959,474012,1
294399,474012,1
331527,474012,1
352254,474012,1
261912,474012,1
365988,474012,1
350406,474012,1
349755,474012,1
302652,474012,1
275877,474012,1
333417,474012,1
263361,474012,1
287700,474012,1
265146,474012,1
334110,474012,1
363006,474012,1
366114,474012,1
361074,474012,1
312795,474012,1
288288,474012,1
299040,474012,1
344589,474012,1
315441,474012,1
277704,474012,1
286524,474012,1
343854,474012,1
272391,474012,1
350910,474012,1
304626,474012,1
291375,474012,1
372036,474012,1
382431,474012,1
259560,474012,1
321531,474012,1
315504,474012,1
269661,474012,1
277452,474012,1
268464,474012,1
304479,474012,1
316050,474012,1
336693,474012,1
357567,474012,1
361578,474012,1
271740,474012,1
345114,474012,1
374052,474012,1
314223,474012,1
267897,474012,1
364665,474012,1
266385,474012,1
361431,474012,1
343812,474012,1
356643,474012,1
295932,474012,1
352170,474012,1
303072,474012,1
